Parzelle;Teebeutel_Farbe;;Tiefe;Anfangsgewicht;Endgewicht
1a;Rot;1;8cm;2,274;1,306
;Gruen;2;8cm;2,085;0,946
;Rot;3;20cm;2,22;1,292
;Gruen;4;20cm;2,194;0,98
2a;Rot;5;8cm;2,243;1,288
;Gruen;6;8cm;2,134;0,956
;Rot;7;20cm;2,282;1,322
;Gruen;8;20cm;2,108;0,943
3.1.a;Rot;9;8cm;2,21;1,384
;Gruen;10;8cm;2,084;0,938
;Rot;11;20cm;2,197;1,389
;Gruen;12;20cm;2,061;0,964
3.3.a;Rot;13;8cm;2,243;1,293
;Gruen;14;8cm;2,116;0,946
;Rot;15;20cm;2,215;1,277
;Gruen;16;20cm;2,104;0,96
4a;Rot;17;8cm;2,224;1,358
;Gruen;18;8cm;2,115;0,95
;Rot;19;20cm;2,225;1,342
;Gruen;20;20cm;2,131;0,923
5a;Rot;21;8cm;2,294;1,326
;Gruen;22;8cm;1,926;0,759
;Rot;23;20cm;2,243;1,322
;Gruen;24;20cm;2,037;0,943
2b;Rot;25;8cm;2,222;1,278
;Gruen;26;8cm;2,921;0,817
;Rot;27;20cm;2,159;1,376
;Gruen;28;20cm;2,944;0,799
5b;Rot;29;8cm;2,305;1,424
;Gruen;30;8cm;1,944;0,877
;Rot;31;20cm;2,173;1,359
;Gruen;32;20cm;1,951;0,794
3.1b;Rot;33;8cm;2,223;1,35
;Gruen;34;8cm;2,088;0,88
;Rot;35;20cm;2,289;1,462
;Gruen;36;20cm;2,128;1,085
3.3b;Rot;37;8cm;2,243;1,308
;Gruen;38;8cm;2,042;0,842
;Rot;39;20cm;2,234;1,344
;Gruen;40;20cm;1,927;0,921
1b;Rot;41;8cm;2,279;1,298
;Gruen;42;8cm;2,151;0,91
;Rot;43;20cm;2,226;1,325
;Gruen;44;20cm;2,028;0,914
4b;Rot;45;8cm;2,275;1,013
;Gruen;46;8cm;2,062;0,835
;Rot;47;20cm;2,286;1,308
;Gruen;48;20cm;2,133;0,889
3.1c;Rot;49;8cm;2,203;1,329
;Gruen;50;8cm;2,054;0,902
;Rot;51;20cm;2,181;1,4
;Gruen;52;20cm;2,015;0,917
3.3c;Rot;53;8cm;2,23;1,377
;Gruen;54;8cm;2,004;0,807
;Rot;55;20cm;2,26;1,492
;Gruen;56;20cm;2,049;0,861
2c;Rot;57;8cm;2,263;1,258
;Gruen;58;8cm;2,136;0,846
;Rot;59;20cm;2,163;1,299
;Gruen;60;20cm;2,123;0,881
5c;Rot;61;8cm;2,288;1,452
;Gruen;62;8cm;1,976;0,85
;Rot;63;20cm;2,275;1,331
;Gruen;64;20cm;2,044;0,744
4c;Rot;65;8cm;2,235;1,417
;Gruen;66;8cm;2,047;0,851
;Rot;67;20cm;2,268;1,366
;Gruen;68;20cm;2,066;0,928
1c;Rot;69;8cm;2,296;1,325
;Gruen;70;8cm;2,077;0,888
;Rot;71;20cm;2,239;1,353
;Gruen;72;20cm;2,182;0,876
2d;Rot;73;8cm;2,291;1,439
;Gruen;74;8cm;2,012;0,878
;Rot;75;20cm;2,224;1,456
;Gruen;76;20cm;1,951;0,842
3.3d;Rot;77;8cm;2,266;1,279
;Gruen;78;8cm;2,035;0,839
;Rot;79;20cm;2,284;1,439
;Gruen;80;20cm;2,038;0,856
3.1d;Rot;81;8cm;2,221;1,287
;Gruen;82;8cm;2,043;
;Rot;83;20cm;2,281;1,378
;Gruen;84;20cm;2,039;0,872
4d;Rot;85;8cm;2,183;1,336
;Gruen;86;8cm;2,06;0,913
;Rot;87;20cm;2,222;1,38
;Gruen;88;20cm;2,039;0,891
1d;Rot;89;8cm;2,249;1,286
;Gruen;90;8cm;2,003;0,998
;Rot;91;20cm;2,222;1,336
;Gruen;92;20cm;2,075;0,952
5d;Rot;93;8cm;2,237;1,442
;Gruen;94;8cm;2,104;0,82
;Rot;95;20cm;2,266;1,547
;Gruen;96;20cm;2,038;0,792
Weg1;Rot;97;8cm;2,2;1,373
;Gruen;98;8cm;2,069;0,899
;Rot;99;20cm;2,281;1,504
;Gruen;100;20cm;2,102;0,835
Weg2;Rot;101;8cm;2,237;1,47
;Gruen;102;8cm;2,075;0,797
;Rot;103;20cm;2,309;1,574
;Gruen;104;20cm;2,089;0,924
Weg3;Rot;105;8cm;2,251;1,292
;Gruen;106;8cm;2,062;0,886
;Rot;107;20cm;2,211;1,428
;Gruen;108;20cm;2,117;0,833
Weg4;Rot;109;8cm;2,211;1,396
;Gruen;110;8cm;2,092;0,88
;Rot;111;20cm;2,197;
;Gruen;112;20cm;2,098;
